bin	cardholder_name	currency_code	daily_limit	monthly_limit	initial_balance	outbox
registered_valid	valid	invalid_format	positive	below_daily	zero	available
registered_valid	valid	rub_643	zero	equal_daily	zero	unavailable
registered_valid	valid	other_3digits	positive	below_daily	positive	unavailable
invalid_format	valid	rub_643	positive	below_daily	positive	available
registered_valid	valid	other_3digits	negative	equal_daily	positive	available
registered_valid	empty	other_3digits	positive	below_daily	zero	available
registered_valid	valid	other_3digits	zero	negative	positive	available
registered_valid	valid	rub_643	zero	above_daily	negative	available
registered_valid	valid	other_3digits	positive	above_daily	positive	unavailable
registered_valid	empty	rub_643	zero	equal_daily	positive	available
invalid_format	valid	other_3digits	zero	equal_daily	zero	available
registered_valid	valid	rub_643	negative	below_daily	zero	available
invalid_format	valid	other_3digits	zero	above_daily	zero	available
registered_valid	empty	other_3digits	zero	above_daily	positive	available
registered_valid	invalid_chars	other_3digits	positive	equal_daily	positive	available
unregistered_valid	valid	rub_643	zero	equal_daily	positive	available
registered_valid	valid	other_3digits	positive	below_daily	negative	available
registered_valid	valid	invalid_format	zero	equal_daily	positive	available
registered_valid	valid	rub_643	positive	negative	zero	available
unregistered_valid	valid	other_3digits	positive	below_daily	zero	available
registered_valid	invalid_chars	rub_643	positive	below_daily	zero	available
unregistered_valid	valid	other_3digits	zero	above_daily	zero	available
registered_valid	valid	other_3digits	negative	above_daily	positive	available
registered_valid	valid	invalid_format	zero	above_daily	zero	available
registered_valid	invalid_chars	rub_643	zero	above_daily	zero	available
registered_valid	valid	rub_643	zero	equal_daily	negative	available
