card_status	amount_vs_daily	amount_vs_monthly	amount_vs_balance	expiry	terminal_type	mcc
EXPIRED	below	below	below	future	pos	restaurant
BLOCKED	below	below	below	current_month	atm	grocery
INACTIVE	below	below	below	expired	ecom	grocery
INACTIVE	below	below	below	future	atm	travel
EXPIRED	below	below	below	current_month	ecom	electronics
BLOCKED	below	below	below	expired	pos	electronics
EXPIRED	below	below	below	current_month	pos	grocery
EXPIRED	below	below	below	expired	atm	travel
ACTIVE	equal	above	above	future	ecom	travel
ACTIVE	above	equal	equal	current_month	pos	travel
ACTIVE	equal	equal	below	expired	atm	electronics
ACTIVE	above	above	equal	future	atm	grocery
ACTIVE	below	equal	above	current_month	atm	restaurant
ACTIVE	above	above	above	future	pos	electronics
INACTIVE	below	below	below	current_month	ecom	restaurant
ACTIVE	equal	above	equal	current_month	ecom	restaurant
ACTIVE	below	above	below	expired	pos	electronics
BLOCKED	below	below	below	future	ecom	travel
ACTIVE	above	equal	above	future	ecom	grocery
ACTIVE	equal	below	equal	current_month	pos	grocery
ACTIVE	above	below	below	expired	pos	restaurant
BLOCKED	below	below	below	current_month	pos	restaurant
ACTIVE	below	below	above	future	pos	electronics
ACTIVE	below	equal	equal	current_month	pos	electronics
INACTIVE	below	below	below	current_month	pos	electronics
